,train,val,test
0,bfd320d3,38991588,4db19cdf
1,E9BB41BE,60ef3025,0CC46AA4
2,9674290b,e50fd25d,bf067de8
3,d6248cf8,A762AB76,357ab4bd
4,ca503755,3b9a2273,b584d650
5,38d515b4,6d00ac00,71305f5c
6,81f8b962,49598f26,c985d6a4
7,9d583339,ecceeb39,31aff50a
8,43959e95,2b8db692,FC717D92
9,53D2B035,b9739d1e,3B036C1D
10,2caeb5df,3c2ee8f6,87A6A24E
11,4da187d6,47624bec,D6315769
12,13afd793,7D61411B,28eeb5c3
13,b36f9bd5,B944523E,95de170e
14,F2848BBF,1F0E0B47,ceef08c2
15,a06c9ca5,d0dbc3f3,d44fdcf0
16,206c2817,8FA7DFCD,369e0c80
17,bbfb3f8b,9fca6a91,67e52764
18,a2f02c84,cce78224,22c3e851
19,b85a8293,8225cfd4,022F845F
20,1bd1c720,0efec19e,95280216
21,D473A2D2,e6cbc6db,3f676d40
22,6d933fa1,c358bcd6,077e7051
23,dc5b8d77,470c0bee,29c82ff0
24,f6512c55,c55a29ca,7b5ab331
25,85c55ab4,05400469,3ed3ae76
26,6a238433,396df9e6,bbd79ced
27,f386e709,C39D94E4,a6ed5255
28,71ddeb47,941575cb,5c88395f
29,38cdb806,a998cc6f,5D6F4225
30,c7b1827d,32E022BA,f83b5cb0
31,01a24641,97ce4fa4,f3299377
32,39FD616C,560b8f9f,d8a5f4f9
33,65794348,140EAE71,ddd18b71
34,bddd6316,2f9e8c7f,4CD542E0
35,f79ddc05,73c27995,668e75ce
36,3501F4D9,550d2568,81E7420E
37,71713A92,e78eaded,14bd85dc
38,53f1ec0a,2ff53d7a,6e020ad3
39,996B7B9A,9f53f9e2,B27E1027
40,E8C5CA5A,fd80b9b2,48fbc5d2
41,ea0763b1,4971f9c1,3ff31173
42,FAD9A2F0,6fe545db,938861e3
43,84C9CCDE,657d1abf,E437BB00
44,1CC3099A,59a3b421,3B9E62AC
45,39B363CD,69196ce3,5632396E
46,C6853BCF,EEA2C1E0,681dd573
47,58C308CD,43BCA7B2,24cc8660
48,E853A155,f30694f7,8e4b701a
49,45890D8B,8872dd8e,7732DE46
50,C63E8820,10f8cd5e,7d4f557d
51,17a6b1da,971BE7D3,8ed78985
52,E44DEEAC,528E053C,659CD853
53,48a5a3fc,D5284A3E,78306056
54,751b1107,15311E57,4EB39EA8
55,c0aa462a,D2F473F4,3F291515
56,ea5f7fc4,473181A7,CC441A0F
57,07c9ab3f,5826ea77,a0dac779
58,44100402,C997CBA5,F9FDAB2C
59,0F0EECE2,C89DD837,BDC7C35E
60,70d1897f,ADAF7B0F,8D69EA34
