,train,val,test
bfd320d3,True,False,False
E9BB41BE,True,False,False
bbd79ced,True,False,False
10f8cd5e,True,False,False
d6248cf8,True,False,False
ca503755,True,False,False
38d515b4,True,False,False
81f8b962,True,False,False
9d583339,True,False,False
8225cfd4,True,False,False
43959e95,True,False,False
53D2B035,True,False,False
8FA7DFCD,True,False,False
4da187d6,True,False,False
13afd793,True,False,False
b36f9bd5,True,False,False
F2848BBF,True,False,False
938861e3,True,False,False
95280216,True,False,False
a06c9ca5,True,False,False
206c2817,True,False,False
bbfb3f8b,True,False,False
a2f02c84,True,False,False
1bd1c720,True,False,False
D473A2D2,True,False,False
69196ce3,True,False,False
6d933fa1,True,False,False
dc5b8d77,True,False,False
f6512c55,True,False,False
9fca6a91,True,False,False
560b8f9f,True,False,False
f386e709,True,False,False
71ddeb47,True,False,False
67e52764,True,False,False
47624bec,True,False,False
c7b1827d,True,False,False
01a24641,True,False,False
39FD616C,True,False,False
65794348,True,False,False
3501F4D9,True,False,False
71713A92,True,False,False
5D6F4225,True,False,False
53f1ec0a,True,False,False
996B7B9A,True,False,False
ea0763b1,True,False,False
bf067de8,True,False,False
3ed3ae76,True,False,False
1CC3099A,True,False,False
39B363CD,True,False,False
C6853BCF,True,False,False
58C308CD,True,False,False
E853A155,True,False,False
022F845F,True,False,False
C63E8820,True,False,False
17a6b1da,True,False,False
3c2ee8f6,True,False,False
48a5a3fc,True,False,False
751b1107,True,False,False
d0dbc3f3,True,False,False
ea5f7fc4,True,False,False
44100402,True,False,False
0F0EECE2,True,False,False
B27E1027,True,False,False
70d1897f,True,False,False
55bba0a1,True,False,False
b74b690e,True,False,False
e3affffd,True,False,False
3d2b326c,True,False,False
1dc1c4fb,True,False,False
9834000b,True,False,False
1f8b54d9,True,False,False
e27fcaa7,True,False,False
26d14577,True,False,False
caac2fb6,True,False,False
be4a0246,True,False,False
e6cbc6db,True,False,False
f3299377,True,False,False
1e6bb223,True,False,False
fd80b9b2,True,False,False
9d3bec1f,True,False,False
59a3b421,True,False,False
cce78224,True,False,False
68cf009b,True,False,False
95cac7ed,True,False,False
5c88395f,True,False,False
fbadb1d7,True,False,False
29f86b4c,True,False,False
095921d7,True,False,False
c77b7558,True,False,False
262f0e99,True,False,False
5ada8b8e,True,False,False
ddae244f,True,False,False
48d043e8,True,False,False
fc671377,True,False,False
b9fadea0,True,False,False
9f53f9e2,True,False,False
d66c8a3b,True,False,False
dc9f48a4,True,False,False
1b685a91,True,False,False
565F5F92,True,False,False
EEA2C1E0,True,False,False
828E1165,True,False,False
78EC26B2,True,False,False
F5625E6F,True,False,False
887252E8,True,False,False
C21B27E4,True,False,False
50F38125,True,False,False
130EA9F0,True,False,False
efecabc0,True,False,False
789de56b,True,False,False
1e9a856a,True,False,False
beeee877,True,False,False
e50fd25d,True,False,False
18b6d6e7,True,False,False
1a56e8e5,True,False,False
fc6a514f,True,False,False
05400469,True,False,False
a29630d2,True,False,False
861325d7,True,False,False
e1440c30,True,False,False
b584d650,True,False,False
974f47b6,True,False,False
615c638d,True,False,False
24cc8660,True,False,False
c807152d,True,False,False
f30694f7,True,False,False
0a49c368,True,False,False
a53a55ed,True,False,False
6f3d1ec1,True,False,False
eeb51a80,True,False,False
f56632b8,True,False,False
c13d841b,True,False,False
d8a5f4f9,True,False,False
7b5ab331,True,False,False
2451bdbc,True,False,False
35a3f505,True,False,False
97ce4fa4,True,False,False
d974c34b,True,False,False
5bb96821,True,False,False
1da979ff,True,False,False
5b7d8f64,True,False,False
8bac7e59,True,False,False
be26bdc8,True,False,False
29d32315,True,False,False
5f6fa5de,True,False,False
bf24e85e,True,False,False
69e0e4d9,True,False,False
6d00ac00,True,False,False
a998cc6f,True,False,False
c985d6a4,True,False,False
8872dd8e,True,False,False
8ea2278c,True,False,False
954b3034,True,False,False
6cc0b334,True,False,False
92c7c348,True,False,False
b5b74b2d,True,False,False
4ce81ca5,True,False,False
794eb92f,True,False,False
9a23a831,True,False,False
c454abac,True,False,False
c08eeafe,True,False,False
e7b639f3,True,False,False
8fdfe3f1,True,False,False
c4bb0354,True,False,False
941575cb,True,False,False
ecceeb39,True,False,False
4276ecc3,True,False,False
0c13b082,True,False,False
d780158b,True,False,False
22597d5c,True,False,False
1d063483,True,False,False
7552759a,True,False,False
d3846058,True,False,False
979ac1bc,True,False,False
b3511f16,True,False,False
1e328b6f,True,False,False
d44fdcf0,True,False,False
90c14c89,True,False,False
657d1abf,True,False,False
ef46368c,True,False,False
4e1e4ab7,True,False,False
c36faa05,True,False,False
67cc16d6,True,False,False
7f3da3a1,True,False,False
4c3b083b,True,False,False
54659e9f,True,False,False
95E8398F,True,False,False
38991588,True,False,False
A964B9A3,True,False,False
614D8D7D,True,False,False
0EB17121,True,False,False
CE682056,True,False,False
33EAAB31,True,False,False
4B82DB9B,True,False,False
C39D94E4,True,False,False
E7A9735A,True,False,False
7B74D046,True,False,False
14E6C96C,True,False,False
3C25F016,True,False,False
A584930A,True,False,False
4CD542E0,True,False,False
5E9F7E8F,True,False,False
7732DE46,True,False,False
056F80C3,True,False,False
C4089710,True,False,False
D37DAF6F,True,False,False
75AA0FB8,True,False,False
5A7985BA,True,False,False
D9E4CA77,True,False,False
3B9E62AC,True,False,False
28805E39,True,False,False
9C306902,True,False,False
103EF882,True,False,False
ADD3D7FE,True,False,False
590b650c,True,False,False
2f8b4ccb,True,False,False
8ed78985,True,False,False
49d7d740,True,False,False
7e206961,True,False,False
b7ed6f65,True,False,False
80afb4f3,True,False,False
e2dfdd69,True,False,False
30906c32,True,False,False
0075f8d7,True,False,False
182dfca9,True,False,False
912c5a3d,True,False,False
3b4b3a5f,True,False,False
da190cd4,True,False,False
b40b5355,True,False,False
9f97b4b6,True,False,False
46854f1c,True,False,False
5ec99523,True,False,False
6c63360c,True,False,False
b037f17b,True,False,False
3f676d40,True,False,False
9eb12eba,True,False,False
e8ebf283,True,False,False
f3ea98d5,True,False,False
0915cb6f,True,False,False
05212dc9,True,False,False
46d61a35,True,False,False
98cb6ac9,True,False,False
3d9c2588,True,False,False
54e2bdc1,True,False,False
e906e855,True,False,False
488e6d8d,True,False,False
2fed8120,True,False,False
f27af4bd,True,False,False
550d2568,True,False,False
29c82ff0,True,False,False
9b3a2c5c,True,False,False
eac31fe2,True,False,False
4f173713,True,False,False
badbc354,True,False,False
d9298d58,True,False,False
b52a09b0,True,False,False
52baec4e,True,False,False
0dc0a4bf,True,False,False
2c11c70b,True,False,False
66c716c2,True,False,False
7d4f557d,True,False,False
c87c39f4,True,False,False
db0ceba9,True,False,False
f07e128b,True,False,False
48fbc5d2,True,False,False
d847a765,True,False,False
0efec19e,True,False,False
ea9b8cee,True,False,False
3e7c6f3c,True,False,False
3e999548,True,False,False
7e349a4e,True,False,False
6d846ab5,True,False,False
d0314896,True,False,False
7300af72,True,False,False
b9739d1e,True,False,False
ae43bef7,True,False,False
2f2d1b0c,True,False,False
d6f8427f,True,False,False
4d59b151,True,False,False
accba421,True,False,False
cc8df798,True,False,False
7c434449,True,False,False
f84b4982,True,False,False
b682d92b,True,False,False
638c8e8b,True,False,False
cfffe175,True,False,False
1bc4a76e,True,False,False
4942ebf2,True,False,False
a907179e,True,False,False
910fae7d,True,False,False
85bc950b,True,False,False
3ff31173,True,False,False
4db19cdf,True,False,False
857a5a60,True,False,False
d1a9878e,True,False,False
d7e64bbb,True,False,False
E4AA3C18,True,False,False
E38DB70A,True,False,False
2b8db692,True,False,False
2f9e8c7f,True,False,False
dc8a5519,True,False,False
52404227,True,False,False
470c0bee,True,False,False
c82ae31e,True,False,False
f62e1d32,True,False,False
65910977,True,False,False
56cfd26c,True,False,False
300c3ae5,True,False,False
369e0c80,True,False,False
0a5231b0,True,False,False
01d72f6a,True,False,False
d99a7299,True,False,False
330bdb6c,True,False,False
0fe86143,True,False,False
f3009cdc,True,False,False
30a61e5b,True,False,False
3c39f9b9,True,False,False
3a375f5f,True,False,False
bc0857e2,True,False,False
3F291515,True,False,False
bfba9373,True,False,False
78306056,True,False,False
5826ea77,True,False,False
85fe33f4,True,False,False
eb0da21c,True,False,False
a0dac779,True,False,False
e5aeff79,True,False,False
fdcc3157,True,False,False
af2fc9c2,True,False,False
47C5A937,True,False,False
DB2F9FFE,True,False,False
4EB39EA8,True,False,False
4D45F809,True,False,False
C73F6879,True,False,False
95A5FA25,True,False,False
57A47A81,True,False,False
F827AA8C,True,False,False
CB5F5330,True,False,False
AA58FA3E,True,False,False
E145D87F,True,False,False
376DD52D,True,False,False
15311E57,True,False,False
A90EB3F7,True,False,False
26F9BF86,True,False,False
EE5F8790,True,False,False
4EC063E2,True,False,False
1D2AB7D2,True,False,False
FA31AC9B,True,False,False
8B2A5B0B,True,False,False
CA71B178,True,False,False
473181A7,True,False,False
BAEA4392,True,False,False
4AE64138,True,False,False
0CCCF11D,True,False,False
573F2559,True,False,False
1106521B,True,False,False
F99904A8,True,False,False
528E053C,True,False,False
D2CA0ADE,True,False,False
46835CE2,True,False,False
BDC7C35E,True,False,False
5419F74B,True,False,False
13E1C61C,True,False,False
6DE4C2C4,True,False,False
F405475A,True,False,False
07B19B85,True,False,False
ABF28359,True,False,False
E6434A29,True,False,False
49B2A361,True,False,False
3AEF89FD,True,False,False
EAA44029,True,False,False
B62772BA,True,False,False
F1E38D60,True,False,False
0A459BE8,True,False,False
D2F473F4,True,False,False
755C4693,True,False,False
8E4372BE,True,False,False
938976FB,True,False,False
89C0449A,True,False,False
3ADEDD93,True,False,False
B1F73FC7,True,False,False
F3F992D2,True,False,False
cb28f651,True,False,False
c08ae7f5,True,False,False
76bba2e9,True,False,False
0783e269,True,False,False
91e4a568,True,False,False
39db8eab,True,False,False
9c2239e4,True,False,False
2b95ca13,True,False,False
200621df,True,False,False
d3da6f16,True,False,False
a37c0e14,True,False,False
8dfe43ac,True,False,False
290a8bb2,True,False,False
3060d47f,True,False,False
c1d047b5,True,False,False
5eff6d78,True,False,False
c360e990,True,False,False
39ab2684,True,False,False
d94f1dd5,True,False,False
5311f60f,True,False,False
7a12ddce,True,False,False
53c6100e,True,False,False
006cf530,True,False,False
8e19c5b6,True,False,False
f3a4da33,True,False,False
d68bdc5e,True,False,False
8fa5886a,True,False,False
04ef7cdf,True,False,False
17c821de,True,False,False
450a6858,True,False,False
d5180ed3,True,False,False
3467ceec,True,False,False
ec889984,True,False,False
787c4448,True,False,False
3d473ea1,True,False,False
656594d9,True,False,False
e8ee8dc0,True,False,False
65455f33,True,False,False
a5197a8b,True,False,False
a27d276d,True,False,False
33a679b4,True,False,False
14b4beda,True,False,False
e93c2e87,True,False,False
dfc7df2a,True,False,False
f7bc255d,True,False,False
29FBDF7D,True,False,False
9E4D3873,True,False,False
1E46B522,True,False,False
48597193,True,False,False
a04eb9f5,True,False,False
9d079751,True,False,False
2ba28bc2,True,False,False
c958bf2d,True,False,False
ffa7e13e,True,False,False
47f27533,True,False,False
bb749d31,True,False,False
66478CFF,True,False,False
2AA52DDF,True,False,False
A8A28E5B,True,False,False
94DDB53B,True,False,False
08AE47C1,True,False,False
A532D9CE,True,False,False
797DFE79,True,False,False
AE67F0A7,True,False,False
939166CE,True,False,False
856b7fe5,True,False,False
B29C89E1,True,False,False
D53E267B,True,False,False
19a1ff6e,True,False,False
aa4e2dd8,True,False,False
2ac5ab19,True,False,False
1F484841,True,False,False
CC45F225,True,False,False
A9F5A541,True,False,False
62A765FE,True,False,False
FB9D31D4,True,False,False
B59C24F4,True,False,False
94C9B5F6,True,False,False
BC50439D,True,False,False
637AFB7A,True,False,False
D521C865,True,False,False
E536E7F6,True,False,False
94202120,True,False,False
B12AEE27,True,False,False
6E395B5D,True,False,False
E8D91A02,True,False,False
0DB33EE7,True,False,False
B049A5A8,True,False,False
DFEAF807,True,False,False
AFF4F6F0,True,False,False
005D0B63,True,False,False
40D84E7D,True,False,False
2A001EAC,True,False,False
AC68E09D,True,False,False
EAA75270,True,False,False
14253FE3,True,False,False
FE12791C,True,False,False
C23332C9,True,False,False
422B7AF0,True,False,False
364D4762,True,False,False
7B0AC43C,True,False,False
93128005,True,False,False
AF15A60D,True,False,False
ACCD40B6,True,False,False
4957D156,True,False,False
71EDB6C0,True,False,False
21DE2F39,True,False,False
9A220956,True,False,False
A7EA95E0,True,False,False
74ABE42F,True,False,False
EFEFC4C4,True,False,False
6D7F0FFA,True,False,False
69FC80A0,True,False,False
E2D22525,True,False,False
66131B27,True,False,False
88047FCF,True,False,False
3F74793F,True,False,False
91B936FA,True,False,False
9DAC8A20,True,False,False
810C9823,True,False,False
84E38F4E,True,False,False
2461740D,True,False,False
4F669BCD,True,False,False
5C5DEAAC,True,False,False
0B219162,True,False,False
5547F30C,True,False,False
00A9C64C,True,False,False
8193FBFB,True,False,False
3B8EE131,True,False,False
18A8340C,True,False,False
8D507E76,True,False,False
86663FDB,True,False,False
5E8224FF,True,False,False
BAF3885F,True,False,False
3850CC14,True,False,False
994052CD,True,False,False
97A0C6F7,True,False,False
E67CB496,True,False,False
1FD4BD73,True,False,False
72DCB378,True,False,False
FA87A9BF,True,False,False
0B4C4C57,True,False,False
7E7ED612,True,False,False
B9EE44DF,True,False,False
D8BA1689,True,False,False
293A2F6A,True,False,False
BC6BD21E,True,False,False
128997AA,True,False,False
D7C7E174,True,False,False
A3C414EF,True,False,False
567A7D93,True,False,False
64A4FFA5,True,False,False
02A748A8,True,False,False
093B9AC2,True,False,False
CC608F45,True,False,False
BC6D7CCB,True,False,False
8D9E6599,True,False,False
3EB1265B,True,False,False
E4E81CA8,True,False,False
5EE5DC2E,True,False,False
806D1CFE,True,False,False
12419A50,True,False,False
5A3E52F6,True,False,False
DB5B7519,True,False,False
F135B458,True,False,False
D51AFCBE,True,False,False
3F0C49CF,True,False,False
45CEAD98,True,False,False
2FE4B0F6,True,False,False
66EECFED,True,False,False
5A8F60DB,True,False,False
68B9AD1D,True,False,False
1CC1D9FD,True,False,False
EBF92326,True,False,False
37B2C4DC,True,False,False
E111130F,True,False,False
30EA1B30,True,False,False
B7010362,True,False,False
070EF07D,True,False,False
a33f52a7,False,True,False
66F5343A,False,True,False
F7C8BE3C,False,True,False
E437BB00,False,True,False
47D39794,False,True,False
FC5811FB,False,True,False
c3874ffc,False,True,False
B944523E,False,True,False
866ea89f,False,True,False
cb017dff,False,True,False
FAD9A2F0,False,True,False
9E7036DB,False,True,False
cb882331,False,True,False
14bd85dc,False,True,False
12558019,False,True,False
d7e04665,False,True,False
73c27995,False,True,False
4544d10a,False,True,False
1e36aacb,False,True,False
bddd6316,False,True,False
f79ddc05,False,True,False
6DB22AEA,False,True,False
2caeb5df,False,True,False
391C74B0,False,True,False
1F0E0B47,False,True,False
2f753bb4,False,True,False
02168abf,False,True,False
CC86884F,False,True,False
a6ed5255,False,True,False
668e75ce,False,True,False
4971f9c1,False,True,False
9076806D,False,True,False
07c9ab3f,False,True,False
5F2DDC1A,False,True,False
85c55ab4,False,True,False
87f21980,False,True,False
76B5A794,False,True,False
E44DEEAC,False,True,False
9674290b,False,True,False
f897b21b,False,True,False
4b46b786,False,True,False
f33af846,False,True,False
9c4f716d,False,True,False
25615528,False,True,False
97991078,False,True,False
659CD853,False,True,False
94144f54,False,True,False
681dd573,False,True,False
f2aac4d2,False,True,False
87afea97,False,True,False
3e5b4737,False,True,False
55205080,False,True,False
EC2C42B5,False,True,False
D4136A31,False,True,False
E1FCB533,False,True,False
A97D876A,False,True,False
592BC1BB,False,True,False
458F977B,False,True,False
830e3f78,False,True,False
971BE7D3,False,True,False
e6265e77,False,True,False
25A52BAA,False,True,False
2447532C,False,True,False
273810f2,False,True,False
91ba65ea,False,True,False
882DD175,False,True,False
C2CB0E94,False,True,False
2423E4DC,False,True,False
1D3AC235,False,True,False
dfbe9f70,False,True,False
73bc7fb6,False,True,False
913399D7,False,True,False
714E8577,False,True,False
E35ED527,False,True,False
6F4914E0,False,True,False
9A983740,False,True,False
41A4F992,False,True,False
b2419f7a,False,True,False
682ab315,False,True,False
89720b5b,False,True,False
D00486C1,False,True,False
13772b1c,False,True,False
F3D67C35,False,True,False
62D4F07B,False,True,False
a19f9720,False,True,False
B7C13C84,False,True,False
96E31A69,False,True,False
DB759C9A,False,True,False
C7BF0356,False,True,False
66FF9A6E,False,True,False
B8EDB990,False,True,False
82831b80,False,True,False
EE259178,False,True,False
eafbba65,False,False,True
7C8DAACB,False,False,True
077e7051,False,False,True
da54fc65,False,False,True
3b9a2273,False,False,True
6fe545db,False,False,True
2738922d,False,False,True
12a9fb4e,False,False,True
87ac4060,False,False,True
45890D8B,False,False,True
D6315769,False,False,True
71305f5c,False,False,True
e78eaded,False,False,True
ac231cfd,False,False,True
e2f7b4ce,False,False,True
a5c24186,False,False,True
c2a2e876,False,False,True
F720CF55,False,False,True
84C9CCDE,False,False,True
564e51a3,False,False,True
ede57976,False,False,True
69bb79f8,False,False,True
81E7420E,False,False,True
b85a8293,False,False,True
DD6F1D27,False,False,True
18c475a1,False,False,True
d4aa0ed3,False,False,True
6a40609b,False,False,True
0963305A,False,False,True
96ee3f26,False,False,True
45952baf,False,False,True
5632396E,False,False,True
6a238433,False,False,True
e954ae94,False,False,True
ceef08c2,False,False,True
b9be10de,False,False,True
E8C5CA5A,False,False,True
c0aa462a,False,False,True
FC717D92,False,False,True
3B036C1D,False,False,True
87A6A24E,False,False,True
bf87760d,False,False,True
09207440,False,False,True
38cdb806,False,False,True
396df9e6,False,False,True
2ff53d7a,False,False,True
28eeb5c3,False,False,True
486396b5,False,False,True
e965a765,False,False,True
79F4D1A6,False,False,True
dd230cfa,False,False,True
873A695C,False,False,True
B9EFDA21,False,False,True
1E7A6945,False,False,True
0285FDDF,False,False,True
F9FDAB2C,False,False,True
6c9000ef,False,False,True
8CBB8760,False,False,True
BC340CDF,False,False,True
30C1C11C,False,False,True
99219621,False,False,True
8192F868,False,False,True
CC441A0F,False,False,True
497ddcb5,False,False,True
B16A8F4B,False,False,True
c3febc9e,False,False,True
DCC24D30,False,False,True
7639BB1D,False,False,True
F7F3F097,False,False,True
1B0131DE,False,False,True
AE832D8E,False,False,True
FEE0D89A,False,False,True
cce3e96e,False,False,True
45FC82C6,False,False,True
1EDE26CC,False,False,True
96946ff8,False,False,True
77e4e7b3,False,False,True
E323CECA,False,False,True
D3D3BDE3,False,False,True
7E42A7A6,False,False,True
773B7CD9,False,False,True
f69967b8,False,False,True
3747c586,False,False,True
4AF63260,False,False,True
D23DE669,False,False,True
E703D8D9,False,False,True
6F3C101D,False,False,True
c3079ce3,False,False,True
e5038a3e,False,False,True
6A8FAEC2,False,False,True
1ACF5371,False,False,True
F86A4811,False,False,True
B7D8DCCE,False,False,True
049801b6,False,False,True
d890e850,False,False,True
